Date,Fed_Unfed,pH,OA/pCO2 treat.,Salinity,t(oC)_spec,P_(dbars),Total P_(mmol/kgSW),Total Si_(mmol/kgSW),t(oC)_of_bucket,P_(dbars),TA_(mmol/kgSW),TCO2_(mmol/kgSW),pH_Chosen_scale_(4 decimals),CO2SYS_TA.DIC_pH_out,CO2SYS_TA.DIC_fCO2_out_(matm),CO2SYS_TA.DIC_pCO2_out_(matm),CO2SYS_TA.DIC_HCO3_out_(mmol/kgSW),CO2SYS_TA.DIC_CO3_out_(mmol/kgSW),CO2SYS_TA.DIC_CO2_out_(mmol/kgSW),CO2SYS_TA.DIC_B_Alk_out_(mmol/kgSW),CO2SYS_TA.DIC_OH_out_(mmol/kgSW),CO2SYS_TA.DIC_P_Alk_out_(mmol/kgSW),CO2SYS_TA.DIC_Si_Alk_out_(mmol/kgSW),CO2SYS_TA.DIC_Revelle_out,CO2SYS_TA.DIC_WCa_out,CO2SYS_TA.DIC_WAr_out,CO2SYS_TA.DIC_xCO2_out_(ppm),CO2SYS_TA.pH_pH_out,CO2SYS_TA.pH_fCO2_out_(matm),CO2SYS_TA.pH_pCO2_out_(matm),CO2SYS_TA.pH_HCO3_out_(mmol/kgSW),CO2SYS_TA.pH_CO3_out_(mmol/kgSW),CO2SYS_TA.pH_CO2_out_(mmol/kgSW),CO2SYS_TA.pH_B_Alk_out_(mmol/kgSW),CO2SYS_TA.pH_OH_out_(mmol/kgSW),CO2SYS_TA.pH_P_Alk_out_(mmol/kgSW),CO2SYS_TA.pH_Si_Alk_out_(mmol/kgSW),CO2SYS_TA.pH_Revelle_out,CO2SYS_TA.pH_WCa_out,CO2SYS_TA.pH_WAr_out,CO2SYS_TA.pH_xCO2_out_(ppm),CO2SYS_DIC.pH_pH_out,CO2SYS_DIC.pH_fCO2_out_(matm),CO2SYS_DIC.pH_pCO2_out_(matm),CO2SYS_DIC.pH_HCO3_out_(mmol/kgSW),CO2SYS_DIC.pH_CO3_out_(mmol/kgSW),CO2SYS_DIC.pH_CO2_out_(mmol/kgSW),CO2SYS_DIC.pH_B_Alk_out_(mmol/kgSW),CO2SYS_DIC.pH_OH_out_(mmol/kgSW),CO2SYS_DIC.pH_P_Alk_out_(mmol/kgSW),CO2SYS_DIC.pH_Si_Alk_out_(mmol/kgSW),CO2SYS_DIC.pH_Revelle_out,CO2SYS_DIC.pH_WCa_out,CO2SYS_DIC.pH_WAr_out,CO2SYS_DIC.pH_xCO2_out_(ppm)
9/14/2021,fed,7,7A,26.81,20.31,1,0,0,22.1,1,1860.32,1875.1,7.4854,7.35,1968.5,1975.1,1779.9,32.3,62.9,15,0.9,0,0,17.481,0.82,0.52,2027.5,7.463,1503.8,1508.8,1757.6,41.2,48.1,19.2,1.2,0,0,17.881,1.05,0.67,1548.8,7.463,1526.7,1531.8,1784.5,41.8,48.8,19.2,1.2,0,0,17.926,1.06,0.68,1572.4
9/14/2021,fed,7,7B,26.76,20.33,1,0,0,22.1,1,1891.22,1872.93,7.4786,7.48,1456.6,1461.4,1782.6,43.7,46.6,20,1.2,0,0,17.915,1.11,0.71,1500.2,7.456,1553.9,1559.1,1788.7,41.3,49.7,18.9,1.2,0,0,17.943,1.05,0.67,1600.4,7.456,1548.3,1553.5,1782.3,41.1,49.5,18.9,1.2,0,0,17.932,1.05,0.67,1594.7
9/14/2021,fed,7.5,7.5A,26.73,19.8,1,0,0,22.3,1,1890.16,1820.25,7.6727,7.68,904,907,1725,66.5,28.8,30.3,1.9,0,0,16.294,1.69,1.08,931.4,7.638,994.3,997.6,1737.8,61.3,31.6,27.9,1.8,0,0,16.762,1.56,1,1024.4,7.638,988.6,991.9,1727.8,61,31.5,27.9,1.8,0,0,16.741,1.55,0.99,1018.5
9/14/2021,fed,7.5,7.5B,26.42,20.24,1,0,0,22.3,1,1878.24,1824.38,7.6682,7.62,1031.1,1034.5,1733,58.5,32.9,26.6,1.7,0,0,17.009,1.49,0.95,1062.3,7.64,987.1,990.4,1727.5,60.7,31.5,27.6,1.8,0,0,16.814,1.55,0.99,1017,7.64,989.6,992.9,1732,60.8,31.5,27.6,1.8,0,0,16.823,1.55,0.99,1019.6
9/14/2021,fed,7.5,7.5C,26.73,19.92,1,0,0,22.3,1,1886.81,1822.17,7.6833,7.66,945.8,948.9,1728.3,63.8,30.1,29.1,1.9,0,0,16.524,1.63,1.04,974.4,7.65,963,966.2,1730.7,62.8,30.6,28.7,1.8,0,0,16.613,1.6,1.02,992.2,7.65,962,965.2,1728.8,62.8,30.6,28.7,1.8,0,0,16.609,1.6,1.02,991.1
9/14/2021,fed,7.5,7.5D,26.53,19.92,1,0,0,22.3,1,1874.01,1824.99,7.6714,7.6,1078.5,1082.1,1734.5,56.1,34.4,25.6,1.6,0,0,17.169,1.43,0.91,1111.1,7.639,986.7,990,1723.5,60.6,31.4,27.7,1.8,0,0,16.786,1.55,0.99,1016.6,7.639,991.9,995.2,1732.5,60.9,31.6,27.7,1.8,0,0,16.805,1.55,0.99,1021.9
9/14/2021,fed,8,8A,26.77,19.93,1,0,0,22.2,1,1889.82,1776.6,7.8377,7.82,624.1,626.2,1667.1,89.6,19.9,40.8,2.7,0,0,14.198,2.28,1.46,642.9,7.805,652.6,654.8,1674.8,86.5,20.8,39.4,2.6,0,0,14.462,2.2,1.41,672.3,7.805,650.6,652.7,1669.6,86.2,20.8,39.4,2.6,0,0,14.451,2.2,1.4,670.2
9/14/2021,fed,8,8B,26.75,19.96,1,0,0,22.2,1,1884.98,1790.03,7.7975,7.76,721.9,724.3,1687.6,79.4,23,36.3,2.4,0,0,15.068,2.02,1.29,743.6,7.765,720,722.4,1687.2,79.5,23,36.3,2.4,0,0,15.053,2.03,1.29,741.7,7.765,720.1,722.5,1687.5,79.6,23,36.3,2.4,0,0,15.054,2.03,1.29,741.8
9/14/2021,fed,8,8C,26.72,19.74,1,0,0,22.2,1,1885.86,1778.69,7.8294,7.8,652.4,654.5,1671.7,86.1,20.8,39.3,2.6,0,0,14.477,2.19,1.4,672,7.794,670.1,672.4,1676.3,84.3,21.4,38.4,2.5,0,0,14.637,2.15,1.37,690.3,7.794,668.9,671.1,1673.2,84.2,21.3,38.4,2.5,0,0,14.63,2.14,1.37,689
9/14/2021,fed,8,8D,26.74,20.12,1,0,0,22.2,1,1886.32,1777.09,7.824,7.81,642.1,644.2,1669.3,87.3,20.5,39.8,2.6,0,0,14.378,2.22,1.42,661.4,7.794,670,672.2,1676.5,84.4,21.4,38.5,2.5,0,0,14.63,2.15,1.37,690.1,7.794,668,670.2,1671.6,84.1,21.3,38.5,2.5,0,0,14.619,2.14,1.37,688.1
9/21/2021,fed,7,7A,26.59,20.25,1,0,0,21.9,1,1859.58,1842.62,7.4704,7.48,1436.6,1441.4,1754,42.4,46.2,19.6,1.2,0,0,17.929,1.08,0.69,1479.2,7.45,1553.4,1558.5,1761.1,39.5,50,18.3,1.1,0,0,17.946,1.01,0.64,1599.4,7.45,1546.6,1551.8,1753.5,39.3,49.8,18.3,1.1,0,0,17.934,1,0.64,1592.4
9/21/2021,fed,7.5,7.5A,26.61,20.21,1,0,0,22,1,1851.32,1787.27,7.6903,7.66,914.3,917.3,1695.4,62.5,29.3,29.1,1.8,0,0,16.494,1.59,1.02,941.5,7.666,910,913.1,1694.8,62.8,29.2,29.2,1.8,0,0,16.47,1.6,1.02,937.1,7.666,910.3,913.3,1695.3,62.8,29.2,29.2,1.8,0,0,16.471,1.6,1.02,937.4
9/21/2021,fed,7.5,7.5B,26.61,20.07,1,0,0,22,1,1856.89,1786.87,7.6993,7.69,869.2,872,1693.4,65.6,27.9,30.4,1.9,0,0,16.231,1.67,1.07,895,7.672,897,900,1697.6,63.9,28.8,29.6,1.9,0,0,16.394,1.63,1.04,923.8,7.672,895.3,898.3,1694.4,63.8,28.7,29.6,1.9,0,0,16.387,1.62,1.04,922
9/21/2021,fed,7.5,7.5C,26.62,19.98,1,0,0,22,1,1856.84,1791.08,7.7007,7.67,903.8,906.8,1698.6,63.5,29,29.4,1.9,0,0,16.429,1.62,1.03,930.7,7.673,896.6,899.6,1697.5,63.9,28.8,29.6,1.9,0,0,16.389,1.63,1.04,923.3,7.673,897,900,1698.3,64,28.8,29.6,1.9,0,0,16.391,1.63,1.04,923.8
9/21/2021,fed,7.5,7.5D,26.65,20,1,0,0,22,1,1852.64,1787.77,7.7003,7.67,909.1,912.1,1695.6,62.9,29.2,29.3,1.8,0,0,16.454,1.6,1.02,936.2,7.673,894.5,897.5,1693.5,63.8,28.7,29.7,1.9,0,0,16.372,1.63,1.04,921.2,7.673,895.4,898.4,1695.2,63.9,28.7,29.7,1.9,0,0,16.376,1.63,1.04,922.1
9/21/2021,fed,8,8A,26.59,19.94,1,0,0,22,1,1849.43,1746.5,7.8406,7.8,648.1,650.2,1642.9,82.8,20.8,38.4,2.5,0,0,14.574,2.11,1.34,667.4,7.811,629.7,631.8,1638.1,84.7,20.2,39.3,2.6,0,0,14.404,2.16,1.38,648.5,7.811,631,633.1,1641.4,84.9,20.3,39.3,2.6,0,0,14.411,2.16,1.38,649.8
9/21/2021,fed,8,8B,26.45,19.85,1,0,0,22,1,1846.98,1750.51,7.8253,7.78,680.5,682.8,1649.4,79.2,21.9,36.7,2.4,0,0,14.902,2.02,1.29,700.8,7.794,657,659.2,1643.7,81.5,21.1,37.8,2.5,0,0,14.694,2.08,1.32,676.6,7.794,658.5,660.7,1647.6,81.7,21.2,37.8,2.5,0,0,14.702,2.08,1.33,678.2
9/21/2021,fed,8,8C,26.52,19.95,1,0,0,22.1,1,1849.92,1748.96,7.8272,7.79,660.5,662.7,1646,81.8,21.2,37.9,2.5,0,0,14.675,2.09,1.33,680.3,7.796,654.5,656.7,1644.5,82.4,21,38.1,2.5,0,0,14.622,2.1,1.34,674.1,7.796,654.9,657.1,1645.5,82.4,21,38.1,2.5,0,0,14.624,2.1,1.34,674.5
9/21/2021,fed,8,8D,26.03,20.16,1,0,0,22,1,1843.04,1745.37,7.8329,7.79,664.3,666.5,1644,80,21.4,36.7,2.4,0,0,14.871,2.05,1.3,684.1,7.806,638.7,640.8,1637.6,82.5,20.6,37.8,2.5,0,0,14.637,2.11,1.34,657.7,7.806,640.4,642.5,1642,82.8,20.6,37.8,2.5,0,0,14.647,2.12,1.35,659.5
9/24/2021,fed,7.5,7.5A,26.24,20.25,1,0,0,22.7,1,1816.68,1727.98,7.7844,7.75,725.6,728,1630.5,74.6,22.9,34.7,2.4,0,0,15.168,1.91,1.22,748.1,7.749,726.9,729.3,1630.8,74.5,22.9,34.6,2.4,0,0,15.178,1.91,1.22,749.4,7.749,726.8,729.2,1630.6,74.5,22.9,34.6,2.4,0,0,15.178,1.91,1.22,749.3
9/24/2021,fed,8,8A,26.34,20.05,1,0,0,22.7,1,1815.16,1725.16,7.8143,7.75,718.3,720.7,1627.3,75.2,22.7,35.1,2.4,0,0,15.085,1.92,1.23,740.5,7.776,677.7,680,1618.3,78.8,21.4,36.8,2.5,0,0,14.746,2.02,1.29,698.7,7.776,680.4,682.6,1624.6,79.1,21.5,36.8,2.5,0,0,14.76,2.02,1.29,701.4
9/28/2021,fed,7,7A,26.46,20.21,1,0,0,21.3,1,1813.74,1844.67,7.4213,7.3,2179.7,2187,1746.4,26.9,71.4,12.8,0.7,0,0,16.915,0.69,0.44,2242.3,7.408,1673.1,1678.7,1727.8,34.3,54.8,16.4,1,0,0,17.843,0.87,0.56,1721.1,7.408,1698.7,1704.4,1754.2,34.8,55.6,16.4,1,0,0,17.883,0.89,0.56,1747.4
9/28/2021,unfed,7.5,7.5A,26.11,19.83,1,0,0,22.5,1,1826.53,1755.84,7.7735,7.69,850.6,853.4,1663.4,65.5,27,30.2,2,0,0,16.135,1.68,1.07,876.6,7.736,757.8,760.3,1647,72,24.1,33.3,2.2,0,0,15.497,1.84,1.17,781,7.736,763.3,765.9,1659,72.6,24.2,33.3,2.2,0,0,15.524,1.86,1.18,786.7
9/28/2021,unfed,7.5,7.5B,26.2,19.55,1,0,0,22.5,1,1809.4,1755.35,7.7689,7.627,984.3,987.6,1667.2,56.9,31.2,26.6,1.7,0,0,16.84,1.46,0.93,1014.5,7.727,766.1,768.6,1633.9,70.3,24.3,32.8,2.2,0,0,15.554,1.8,1.15,789.5,7.727,778,780.6,1659.3,71.3,24.7,32.8,2.2,0,0,15.611,1.83,1.16,801.8
9/28/2021,unfed,7.5,7.5C,26.21,19.61,1,0,0,22.4,1,1817.53,1755.49,7.7701,7.658,914.4,917.5,1665.5,60.9,29.1,28.4,1.9,0,0,16.515,1.56,0.99,942.3,7.731,762.7,765.2,1640.6,70.9,24.3,33,2.2,0,0,15.546,1.81,1.15,785.9,7.731,771.3,773.9,1659.3,71.7,24.5,33,2.2,0,0,15.587,1.83,1.17,794.8
9/28/2021,unfed,7.5,7.5D,26.2,19.67,1,0,0,22.4,1,1814.85,1757.37,7.7671,7.641,952.7,955.9,1668.4,58.6,30.3,27.4,1.8,0,0,16.715,1.5,0.96,981.7,7.728,765.7,768.2,1639,70.4,24.4,32.9,2.2,0,0,15.574,1.8,1.15,789,7.728,776.1,778.7,1661.3,71.4,24.7,32.9,2.2,0,0,15.624,1.83,1.16,799.7
9/28/2021,unfed,8,8A,26.19,19.72,1,0,0,22.5,1,1812.48,1721.09,7.8821,7.763,700,702.3,1623,75.9,22.2,35.4,2.4,0,0,15.034,1.94,1.24,721.4,7.841,573.1,574.9,1590.3,89,18.2,41.4,2.9,0,0,13.853,2.28,1.45,590.6,7.841,581.1,583,1612.5,90.2,18.4,41.4,2.9,0,0,13.902,2.31,1.47,598.9
9/28/2021,unfed,8,8B,26.09,19.86,1,0,0,22.4,1,1815.17,1721.63,7.8825,7.773,684.1,686.4,1622.8,77.1,21.8,35.8,2.4,0,0,14.95,1.97,1.26,705,7.845,568.7,570.6,1592.3,89.3,18.1,41.5,2.9,0,0,13.857,2.29,1.46,586.1,7.845,576.1,578,1612.9,90.4,18.3,41.5,2.9,0,0,13.902,2.32,1.47,593.6
9/28/2021,unfed,8,8C,26.2,19.89,1,0,0,22.4,1,1814.86,1719.26,7.882,7.779,673.7,676,1619.7,78.2,21.4,36.4,2.5,0,0,14.833,2,1.27,694.2,7.845,568,569.9,1591.3,89.5,18.1,41.7,2.9,0,0,13.823,2.29,1.46,585.3,7.845,574.8,576.7,1610.4,90.6,18.3,41.7,2.9,0,0,13.865,2.32,1.48,592.3
9/28/2021,unfed,8,8D,26.19,19.7,1,0,0,22.5,1,1812.59,1718.7,7.8869,7.772,685,687.2,1619.8,77.2,21.7,36,2.4,0,0,14.907,1.98,1.26,705.9,7.846,566.5,568.4,1588.4,89.8,18,41.8,2.9,0,0,13.786,2.3,1.46,583.9,7.846,574.1,576,1609.5,91,18.2,41.8,2.9,0,0,13.832,2.33,1.48,591.7
10/6/2021,fed,7,7A,25.37,20.16,1,0,0,21.4,1,1772.64,1780.13,7.423,7.4,1690.5,1696.2,1692.6,32,55.5,15.1,0.9,0,0,17.886,0.82,0.52,1739.3,7.408,1652.6,1658.1,1690.9,32.7,54.3,15.4,0.9,0,0,17.938,0.84,0.53,1700.2,7.408,1654.6,1660.2,1693.1,32.7,54.3,15.4,0.9,0,0,17.942,0.84,0.53,1702.4
10/6/2021,fed,7.5,7.5A,24.58,19.92,1,0,0,21.5,1,1772.6,1720.79,7.5951,7.66,910.5,913.6,1635.9,54.9,29.9,25.2,1.6,0,0,17.194,1.42,0.89,937,7.574,1112.8,1116.5,1657.8,46.1,36.6,21.2,1.4,0,0,17.939,1.19,0.75,1145.1,7.574,1100.2,1103.8,1639,45.6,36.2,21.2,1.4,0,0,17.9,1.18,0.74,1132.1
10/6/2021,fed,7.5,7.5B,24.49,19.82,1,0,0,21.5,1,1766.91,1721,7.6034,7.63,960.5,963.7,1637.4,52,31.6,23.9,1.6,0,0,17.453,1.34,0.85,988.3,7.581,1091.6,1095.2,1651,46.6,35.9,21.4,1.4,0,0,17.905,1.2,0.76,1123.2,7.581,1083.7,1087.3,1639.1,46.2,35.7,21.4,1.4,0,0,17.88,1.19,0.75,1115.2
