Date,Fed_Unfed,pH,OA/pCO2 treat.,Salinity,t(oC)_spec,P_(dbars),Total P_(mmol/kgSW),Total Si_(mmol/kgSW),t(oC)_of_bucket,P_(dbars),TA_(mmol/kgSW),TCO2_(mmol/kgSW),pH_Chosen_scale_(4 decimals),CO2SYS_TA.DIC_pH_out,CO2SYS_TA.DIC_fCO2_out_(matm),CO2SYS_TA.DIC_pCO2_out_(matm),CO2SYS_TA.DIC_HCO3_out_(mmol/kgSW),CO2SYS_TA.DIC_CO3_out_(mmol/kgSW),CO2SYS_TA.DIC_CO2_out_(mmol/kgSW),CO2SYS_TA.DIC_B_Alk_out_(mmol/kgSW),CO2SYS_TA.DIC_OH_out_(mmol/kgSW),CO2SYS_TA.DIC_P_Alk_out_(mmol/kgSW),CO2SYS_TA.DIC_Si_Alk_out_(mmol/kgSW),CO2SYS_TA.DIC_Revelle_out,CO2SYS_TA.DIC_WCa_out,CO2SYS_TA.DIC_WAr_out,CO2SYS_TA.DIC_xCO2_out_(ppm),CO2SYS_TA.pH_pH_out,CO2SYS_TA.pH_fCO2_out_(matm),CO2SYS_TA.pH_pCO2_out_(matm),CO2SYS_TA.pH_HCO3_out_(mmol/kgSW),CO2SYS_TA.pH_CO3_out_(mmol/kgSW),CO2SYS_TA.pH_CO2_out_(mmol/kgSW),CO2SYS_TA.pH_B_Alk_out_(mmol/kgSW),CO2SYS_TA.pH_OH_out_(mmol/kgSW),CO2SYS_TA.pH_P_Alk_out_(mmol/kgSW),CO2SYS_TA.pH_Si_Alk_out_(mmol/kgSW),CO2SYS_TA.pH_Revelle_out,CO2SYS_TA.pH_WCa_out,CO2SYS_TA.pH_WAr_out,CO2SYS_TA.pH_xCO2_out_(ppm),CO2SYS_DIC.pH_pH_out,CO2SYS_DIC.pH_fCO2_out_(matm),CO2SYS_DIC.pH_pCO2_out_(matm),CO2SYS_DIC.pH_HCO3_out_(mmol/kgSW),CO2SYS_DIC.pH_CO3_out_(mmol/kgSW),CO2SYS_DIC.pH_CO2_out_(mmol/kgSW),CO2SYS_DIC.pH_B_Alk_out_(mmol/kgSW),CO2SYS_DIC.pH_OH_out_(mmol/kgSW),CO2SYS_DIC.pH_P_Alk_out_(mmol/kgSW),CO2SYS_DIC.pH_Si_Alk_out_(mmol/kgSW),CO2SYS_DIC.pH_Revelle_out,CO2SYS_DIC.pH_WCa_out,CO2SYS_DIC.pH_WAr_out,CO2SYS_DIC.pH_xCO2_out_(ppm)
10/6/2021,fed,7.5,7.5C,24.63,19.86,1,0,0,21.4,1,1769.28,1714.86,7.6219,7.67,882.7,885.7,1629.7,56,29.1,25.9,1.7,0,0,17.064,1.44,0.91,908.2,7.601,1038.2,1041.7,1648,48.7,34.2,22.5,1.4,0,0,17.733,1.26,0.79,1068.2,7.601,1028.6,1032.1,1632.7,48.2,33.9,22.5,1.4,0,0,17.7,1.24,0.78,1058.3
10/6/2021,fed,7.5,7.5D,24.67,19.95,1,0,0,21.4,1,1701.5,1716.26,7.6074,7.37,1746.8,1752.7,1630.3,28.3,57.6,13.7,0.8,0,0,17.675,0.73,0.46,1797.3,7.588,1030.3,1033.8,1587.1,45.5,34,21.9,1.4,0,0,17.686,1.17,0.74,1060.1,7.588,1061,1064.6,1634.4,46.9,35,21.9,1.4,0,0,17.791,1.21,0.76,1091.7
10/6/2021,fed,8,8A,24.53,20.02,1,0,0,21.4,1,1762.1,1670.34,7.7761,7.81,613.8,615.8,1575,75.1,20.2,34.6,2.3,0,0,15.072,1.94,1.22,631.5,7.757,703.4,705.7,1594.7,67.2,23.2,31,2.1,0,0,15.883,1.73,1.09,723.7,7.757,697.2,699.5,1580.8,66.6,23,31,2.1,0,0,15.85,1.72,1.08,717.3
10/6/2021,fed,8,8B,24.57,19.86,1,0,0,21.4,1,1773.99,1673.67,7.7834,7.84,575.4,577.3,1574.6,80.1,19,36.7,2.5,0,0,14.652,2.07,1.3,592,7.761,699,701.4,1603.7,68.4,23.1,31.4,2.1,0,0,15.822,1.77,1.11,719.2,7.761,690.2,692.5,1583.4,67.5,22.8,31.4,2.1,0,0,15.774,1.74,1.1,710.1
10/6/2021,fed,8,8C,24.48,19.71,1,0,0,21.4,1,1767.76,1673.85,7.7901,7.82,604.2,606.2,1577.5,76.4,19.9,35.1,2.4,0,0,14.982,1.97,1.24,621.6,7.766,689.4,691.7,1596.9,68.7,22.7,31.5,2.1,0,0,15.773,1.77,1.12,709.3,7.766,683.5,685.8,1583.2,68.1,22.6,31.5,2.1,0,0,15.74,1.76,1.11,703.2
10/6/2021,fed,8,8D,24.59,19.68,1,0,0,21.4,1,1769.05,1673.04,7.7912,7.82,595.4,597.4,1575.8,77.6,19.6,35.7,2.4,0,0,14.862,2,1.26,612.6,7.767,687.8,690.1,1597.2,69,22.7,31.8,2.1,0,0,15.728,1.78,1.12,707.7,7.767,681.4,683.6,1582.2,68.3,22.5,31.8,2.1,0,0,15.692,1.76,1.11,701
10/12/2021,fed,7,7A,25.99,20.23,1,0,0,21,1,1867.3,1851.84,7.4365,7.49,1402.6,1407.3,1763.7,41.7,46.4,19.1,1.1,0,0,18.174,1.06,0.67,1442.2,7.427,1650.5,1656,1777.9,36,54.6,16.5,1,0,0,18.092,0.92,0.58,1697.1,7.427,1635.8,1641.3,1762,35.7,54.1,16.5,1,0,0,18.068,0.91,0.58,1681.9
10/12/2021,fed,7.5,7.5A,26.56,20.07,1,0,0,20.9,1,1867.67,1790.68,7.7074,7.73,788.1,790.7,1695.5,69.1,26.1,32.1,1.9,0,0,16.012,1.76,1.12,810.2,7.696,848.7,851.6,1705.9,64.9,28.1,30.2,1.8,0,0,16.414,1.65,1.05,872.5,7.696,844.8,847.7,1698.1,64.6,27.9,30.2,1.8,0,0,16.397,1.64,1.04,868.5
10/12/2021,fed,7.5,7.5B,26.53,20.1,1,0,0,20.9,1,1873.09,1789.93,7.6938,7.75,748.6,751.2,1692.7,72.4,24.8,33.5,2,0,0,15.724,1.84,1.17,769.7,7.683,879.9,882.8,1715.5,63.3,29.1,29.3,1.7,0,0,16.604,1.61,1.02,904.6,7.683,871.1,874.1,1698.4,62.7,28.8,29.3,1.7,0,0,16.567,1.59,1.01,895.6
10/12/2021,fed,7.5,7.5C,26.55,20.06,1,0,0,20.9,1,1871.73,1788.31,7.7032,7.75,746.5,749,1691.1,72.5,24.7,33.6,2,0,0,15.704,1.84,1.17,767.5,7.691,859.9,862.8,1711.2,64.5,28.5,29.9,1.8,0,0,16.482,1.64,1.04,884,7.691,852.4,855.3,1696.2,63.9,28.2,29.9,1.8,0,0,16.449,1.62,1.03,876.3
10/12/2021,fed,7.5,7.5D,26.41,19.92,1,0,0,21,1,1872.03,1788.92,7.6983,7.75,749.1,751.6,1691.7,72.4,24.7,33.4,2,0,0,15.731,1.84,1.17,770.2,7.683,879.4,882.4,1714.3,63.4,29,29.2,1.7,0,0,16.607,1.61,1.02,904.2,7.683,870.7,873.7,1697.4,62.7,28.8,29.2,1.7,0,0,16.57,1.6,1.01,895.3
10/12/2021,fed,8,8A,26.53,20.03,1,0,0,21,1,1867.25,1748.61,7.8437,7.86,555.6,557.5,1638.5,91.8,18.3,42.5,2.6,0,0,13.931,2.33,1.48,571.3,7.83,605,607,1653.3,85.9,20,39.8,2.5,0,0,14.44,2.18,1.39,622.1,7.83,601.4,603.4,1643.4,85.4,19.8,39.8,2.5,0,0,14.419,2.17,1.38,618.3
10/12/2021,fed,8,8B,26.56,20.04,1,0,0,21,1,1853.38,1739.98,7.8599,7.85,573.1,575,1632.6,88.4,18.9,41.3,2.6,0,0,14.127,2.25,1.43,589.3,7.846,575.6,577.5,1633.4,88.1,19,41.2,2.6,0,0,14.153,2.24,1.42,591.8,7.846,575.4,577.3,1632.9,88.1,19,41.2,2.6,0,0,14.152,2.24,1.42,591.6
10/12/2021,fed,8,8C,26.41,19.91,1,0,0,21,1,1867.58,1747.65,7.8356,7.87,548.4,550.2,1636.9,92.6,18.1,42.7,2.7,0,0,13.881,2.36,1.5,563.8,7.82,621.3,623.4,1658.6,83.9,20.5,38.8,2.4,0,0,14.63,2.14,1.36,638.9,7.82,615.9,618,1644.1,83.2,20.3,38.8,2.4,0,0,14.599,2.12,1.35,633.3
10/12/2021,fed,8,8D,26.54,20.1,1,0,0,21,1,1867.7,1743.37,7.8582,7.88,531.5,533.3,1630.7,95.1,17.5,44,2.8,0,0,13.665,2.42,1.54,546.5,7.845,581.5,583.4,1646.8,88.7,19.2,41.1,2.5,0,0,14.2,2.25,1.43,597.9,7.845,577.7,579.7,1636.2,88.1,19.1,41.1,2.5,0,0,14.177,2.24,1.42,594
10/19/2021,fed,7,7A,25.96,19.42,1,0,0,19.3,1,1858.5,1854.55,7.4715,7.47,1473,1478,1766.5,36.9,51.1,17.3,0.9,0,0,18.344,0.94,0.59,1510.9,7.473,1458.8,1463.8,1765.7,37.2,50.6,17.4,0.9,0,0,18.352,0.95,0.6,1496.4,7.473,1459.6,1464.6,1766.6,37.3,50.7,17.4,0.9,0,0,18.353,0.95,0.6,1497.2
10/19/2021,fed,7.5,7.5A,26.23,19.47,1,0,0,19.6,1,1855.56,1785.37,7.6965,7.73,784,786.6,1693.5,65,26.9,30.5,1.7,0,0,16.453,1.65,1.04,804.5,7.695,844.6,847.5,1703.3,61,29,28.7,1.6,0,0,16.846,1.55,0.98,866.7,7.695,840.9,843.7,1695.7,60.7,28.9,28.7,1.6,0,0,16.829,1.54,0.98,862.9
10/19/2021,fed,7.5,7.5B,26.24,19.34,1,0,0,19.7,1,1852.31,1784.35,7.7081,7.72,801.6,804.4,1693.1,63.8,27.5,30,1.7,0,0,16.546,1.62,1.03,822.7,7.703,825.9,828.7,1697,62.2,28.3,29.3,1.6,0,0,16.703,1.58,1,847.6,7.703,824.4,827.2,1694,62.1,28.3,29.3,1.6,0,0,16.696,1.58,1,846.1
10/19/2021,fed,7.5,7.5C,26.24,19.22,1,0,0,19.7,1,1858.9,1788.19,7.6978,7.73,785.3,788,1695.9,65.3,26.9,30.6,1.7,0,0,16.429,1.66,1.05,806,7.691,854,856.9,1707.1,60.9,29.3,28.5,1.6,0,0,16.869,1.55,0.98,876.4,7.691,849.7,852.6,1698.5,60.6,29.1,28.5,1.6,0,0,16.85,1.54,0.97,872
10/19/2021,fed,7.5,7.5D,26.21,20.11,1,0,0,19.7,1,1855.39,1787.04,7.6925,7.72,800,802.7,1695.5,64.1,27.4,30,1.7,0,0,16.54,1.63,1.03,821,7.698,837.6,840.5,1701.6,61.6,28.7,28.9,1.6,0,0,16.781,1.57,0.99,859.7,7.698,835.3,838.2,1696.9,61.5,28.6,28.9,1.6,0,0,16.771,1.56,0.99,857.3
10/19/2021,fed,8,8A,26.19,19.81,1,0,0,19.8,1,1862.15,1746.69,7.8336,7.88,536.1,538,1638.7,89.7,18.3,41.7,2.4,0,0,14.146,2.28,1.44,550.3,7.834,597.5,599.6,1657.1,82.3,20.4,38.3,2.2,0,0,14.805,2.09,1.32,613.3,7.834,593.1,595.1,1644.8,81.7,20.3,38.3,2.2,0,0,14.778,2.08,1.31,608.8
10/19/2021,fed,8,8B,26.24,19.75,1,0,0,19.8,1,1854.04,1740.08,7.8489,7.87,539.6,541.5,1633.1,88.6,18.4,41.4,2.4,0,0,14.184,2.25,1.42,553.9,7.848,573,574.9,1643.3,84.5,19.6,39.5,2.3,0,0,14.548,2.15,1.36,588.1,7.848,570.6,572.5,1636.5,84.1,19.5,39.5,2.3,0,0,14.533,2.14,1.35,585.7
