"","pCO2_Treatment","food_supply","Salinity","pCO2","Temperature","DO","pH","TCO2","pH_out","HCO3","CO3","TA","Calcite.Sat","Aragonite.Sat"
"1","Low","High","25.8 ± 0.202 (17)","591 ± 15.3 (17)","20.9 ± 0.214 (17)","9.4 ± 0.0345 (17)","7.86 ± 0.00831 (17)","1710 ± 7.38 (17)","7.84 ± 0.0104 (17)","1610 ± 6.1 (17)","84.5  ±  2.03 (17)","1810 ± 8.52 (17)","2.16 ± 0.0491 (17)","1.37 ± 0.0322 (17)"
"2","Moderate","High","25.8 ± 0.194 (16)","840 ± 28.7 (16)","20.9 ± 0.224 (16)","9.34 ± 0.0316 (16)","7.72 ± 0.0126 (16)","1750 ± 7.36 (16)","7.71 ± 0.0134 (16)","1660 ± 6.66 (16)","64  ±  2.04 (16)","1820 ± 8.69 (16)","1.63 ± 0.0507 (16)","1.04 ± 0.0328 (16)"
"3","Low","Low","26 ± 0.154 (25)","535 ± 8.36 (25)","21 ± 0.223 (25)","9.02 ± 0.0482 (25)","7.9 ± 0.00624 (25)","1710 ± 4.91 (25)","7.88 ± 0.00671 (25)","1600 ± 3.91 (25)","93.1  ±  1.82 (25)","1830 ± 7.77 (25)","2.38 ± 0.0452 (25)","1.51 ± 0.0297 (25)"
"4","Moderate","Low","26 ± 0.141 (25)","724 ± 20 (25)","21 ± 0.215 (25)","8.99 ± 0.0528 (25)","7.79 ± 0.00988 (25)","1740 ± 5.46 (25)","7.77 ± 0.0113 (25)","1640 ± 4.97 (25)","73.7  ±  1.78 (25)","1830 ± 7.63 (25)","1.88 ± 0.0443 (25)","1.19 ± 0.0283 (25)"
