"","pCO2_level","Food_supply","N","Salinity","Temperature","TA","TCO2","pH_Chosen.scale","CO2SYS_calc","pH_out","fCO2_matm","pCO2_matm","HCO3_mmol.kgSW","CO3_mmol.kgSW","CO2_mmol.kgSW","B_Alk_mmol.kgSW","OH_mmol.kgSW","Revelle","Calcite.Sat","Aragonite.Sat","xCO2_ppm"
"1","Elevated","High",28,"26.1± 0.138","21± 0.19","1840± 8.18","1770± 6.61","7.69± 0.00724","TA.pH","7.67± 0.00844","891± 18.7","894± 18.8","1680± 6.44","60.7± 1.13","29.4± 0.544","28.3± 0.537","1.72± 0.0313","16.7± 0.0953","1.55± 0.0278","0.982± 0.018","917± 19.4"
"2","Low","High",28,"26± 0.141","21± 0.183","1830± 7.3","1730± 6.75","7.84± 0.00522","TA.pH","7.82± 0.0069","615± 11.1","617± 11.1","1630± 5.93","82± 1.14","20.3± 0.302","38.1± 0.574","2.39± 0.0341","14.7± 0.1","2.09± 0.0275","1.33± 0.0181","632± 11.5"
"3","Elevated","Low",29,"26.1± 0.128","21.1± 0.203","1830± 7.17","1740± 4.77","7.76± 0.0088","TA.pH","7.75± 0.0117","739± 21","741± 21","1650± 5.76","71± 1.79","24.4± 0.626","33± 0.84","2.03± 0.0527","15.7± 0.16","1.81± 0.0443","1.15± 0.0284","760± 21.7"
"4","Low","Low",24,"25.9± 0.156","21.1± 0.252","1830± 7.27","1710± 5.1","7.88± 0.0046","TA.pH","7.86± 0.00591","554± 7.43","555± 7.45","1610± 4.04","88.5± 1.47","18.3± 0.21","41.1± 0.707","2.62± 0.0528","14.1± 0.11","2.26± 0.0355","1.43± 0.0234","569± 7.77"
