"","pCO2_level","Food_supply","N","Salinity","Temperature","TA","TCO2","pH_Chosen.scale","CO2SYS_calc","pH_out","fCO2_matm","pCO2_matm","HCO3_mmol.kgSW","CO3_mmol.kgSW","CO2_mmol.kgSW","B_Alk_mmol.kgSW","OH_mmol.kgSW","Revelle","Calcite.Sat","Aragonite.Sat","xCO2_ppm"
"1","Elevated","High",28,"26.1± 0.138","21± 0.19","1840± 8.18","1770± 6.61","7.69± 0.00724","TA.DIC","7.69± 0.0169","883± 40.3","886± 40.5","1680± 6.38","62.6± 1.86","29.1± 1.27","29.1± 0.854","1.76± 0.0473","16.5± 0.127","1.6± 0.047","1.01± 0.0296","908± 41.6"
"2","Low","High",28,"26± 0.141","21± 0.183","1830± 7.3","1730± 6.75","7.84± 0.00522","TA.DIC","7.83± 0.0131","607± 20.4","609± 20.5","1630± 6.67","83.8± 1.83","20± 0.612","38.9± 0.823","2.45± 0.0473","14.5± 0.148","2.14± 0.0461","1.36± 0.0291","624± 21.1"
"3","Elevated","Low",29,"26.1± 0.128","21.1± 0.203","1830± 7.17","1740± 4.77","7.76± 0.0088","TA.DIC","7.78± 0.0159","687± 28","689± 28.1","1640± 5.3","76.2± 2.48","22.6± 0.83","35.4± 1.14","2.2± 0.0707","15.2± 0.209","1.94± 0.0618","1.23± 0.0396","706± 28.9"
"4","Low","Low",24,"25.9± 0.156","21.1± 0.252","1830± 7.27","1710± 5.1","7.88± 0.0046","TA.DIC","7.89± 0.0115","521± 16.1","523± 16.2","1600± 4.45","93.5± 2.12","17.2± 0.454","43.4± 0.978","2.79± 0.0665","13.7± 0.151","2.39± 0.0524","1.51± 0.0336","536± 16.7"
