"","pCO2_level","Food_supply","N","Salinity","Temperature","TA","TCO2","pH_Chosen.scale","CO2SYS_calc","pH_out","fCO2_matm","pCO2_matm","HCO3_mmol.kgSW","CO3_mmol.kgSW","CO2_mmol.kgSW","B_Alk_mmol.kgSW","OH_mmol.kgSW","Revelle","Calcite.Sat","Aragonite.Sat","xCO2_ppm"
"1","Elevated","High",28,"26.1± 0.138","21± 0.19","1840± 8.18","1770± 6.61","7.69± 0.00724","DIC.pH","7.67± 0.00844","890± 18.9","893± 18.9","1680± 6.05","60.6± 1.13","29.4± 0.548","28.3± 0.537","1.72± 0.0313","16.7± 0.0946","1.54± 0.0277","0.98± 0.0182","915± 19.6"
"2","Low","High",28,"26± 0.141","21± 0.183","1830± 7.3","1730± 6.75","7.84± 0.00522","DIC.pH","7.82± 0.0069","614± 10.9","616± 10.9","1630± 6.06","81.9± 1.2","20.3± 0.291","38.1± 0.574","2.39± 0.0341","14.7± 0.0966","2.09± 0.0292","1.32± 0.019","631± 11.3"
"3","Elevated","Low",29,"26.1± 0.128","21.1± 0.203","1830± 7.17","1740± 4.77","7.76± 0.0088","DIC.pH","7.74± 0.00988","743± 17.5","745± 17.6","1650± 4.37","70.2± 1.48","24.4± 0.521","32.9± 0.697","2.03± 0.0438","15.7± 0.132","1.79± 0.0368","1.14± 0.0235","764± 18.2"
"4","Low","Low",24,"25.9± 0.156","21.1± 0.252","1830± 7.27","1710± 5.1","7.88± 0.0046","DIC.pH","7.86± 0.00591","551± 7.48","553± 7.5","1600± 3.89","88± 1.49","18.2± 0.202","41.1± 0.707","2.62± 0.0528","14.1± 0.109","2.25± 0.0362","1.42± 0.0239","566± 7.83"
