Date,Run,raw_ID,Sample_ID,Plate,pH,Replicate,Fed_Unfed,tet/ply,chaet,total_algae,seston,Time_point,minutes,Notes
20210914,1,A01 Run 1 8.0A time 0,1,NA,8,A,NA,"1,286",59,"1,345",678,0,0,
20210914,1,E01 run 1 7.5 A t=0,5,NA,7.5,A,NA,"1,245",69,"1,314",717,0,0,
20210914,1,A02 8A t=1,1,NA,8,A,NA,"1,169",46,"1,215",713,1,10,
20210914,1,E02 7.5A t=1,5,NA,7.5,A,NA,"1,127",55,"1,182",666,1,10,
20210914,1,A03 8a t=2,1,NA,8,A,NA,"1,154",56,"1,210",636,2,27,
20210914,1,E03 7.5A T=2,5,NA,7.5,A,NA,"1,029",264,"1,293",640,2,27,
20210914,1,A04 8A T=3,1,NA,8,A,NA,"1,109",50,"1,159","2,374",3,47,
20210914,1,E04 7.5A T=3,5,NA,7.5,A,NA,941,41,982,518,3,47,
20210914,1,A05 8A T=4,1,NA,8,A,NA,"1,075",35,"1,110",607,4,57,
20210914,1,E05 7.5a T=4,5,NA,7.5,A,NA,651,28,679,504,4,57,
20210914,1,A06 8A T=5,1,NA,8,A,NA,"1,045",48,"1,093",658,5,70,
20210914,1,E06 7.5a T=5,5,NA,7.5,A,NA,799,48,847,502,5,70,
20210914,1,A07 8A T=7,1,NA,8,A,NA,981,22,"1,003",655,6,90,
20210914,1,E07 7A,5,NA,7.5,A,NA,498,22,520,375,6,90,
20210914,2,B01 Run 2 8.0A t=0,2,NA,8,A,NA,"1,299",113,"1,412",685,0,0,
20210914,2,F01 Run 2 7.5a t=0,6,NA,7.5,A,NA,"1,330",75,"1,405",674,0,0,
20210914,2,B02 8a t=1,2,NA,8,A,NA,"1,080",115,"1,195",621,1,10,
20210914,2,F02 7.5B t=1,6,NA,7.5,A,NA,"1,276",88,"1,364",661,1,10,
20210914,2,B03 8.0A t=2,2,NA,8,A,NA,762,42,804,466,2,20,
20210914,2,F03 7.5b T=2,6,NA,7.5,A,NA,"1,190",61,"1,251",737,2,20,
20210914,2,B04 8A T=3,2,NA,8,A,NA,772,81,853,"1,076",3,30,
20210914,2,F04 7.5A T=3,6,NA,7.5,A,NA,"1,092",76,"1,168",671,3,30,
