,Date,ID,pH,Replicate,Fed_Unfed,Run,Plate,Number,Length_um,Total_mL.hr,Total_mL.hr.mmlength,Total_mL.hr.bfactor,Chaet_mL.hr,Chaet_mL.hr.mmlength,Chaet_mL.hr.bfactor,Ply_mL.hr,Ply_mL.hr.mmlength,Ply_mL.hr.bfactor,Seston_mL.hr,Seston_mL.hr.mmlength,Seston_mL.hr.bfactor,pCO2,random_fact
1,20210914,7.5_Run_1_Rep_A_Num_1,7.5,A,fed,1,NA,1,1970.48,13.46911669,6.835449583,19.98658571,14.215472,7.214217857,21.09408925,8.431397713,4.278854753,12.51120299,10.07501254,5.112973762,14.95013416,800 ?atm,A_7.5
2,20210914,7.5_Run_2_Rep_A_Num_2,7.5,A,fed,2,NA,2,2212.22,7.426270834,3.356931424,8.968381922,8.096367939,3.659838506,9.777628836,10.81375168,4.888189998,13.05929412,5.034409289,2.275727228,6.079835528,800 ?atm,A_7.5
3,20210914,7.5_Run_3_Rep_A_Num_3,7.5,A,fed,3,NA,3,2253.05,1.545055162,0.685761595,1.806132563,3.308613488,1.468504244,3.867690104,-7.705338448,-3.419958921,-9.007356516,3.432527037,1.52350238,4.012542082,800 ?atm,A_7.5
4,20210914,7.5_Run_1_Rep_B_Num_1,7.5,B,fed,1,NA,1,2097.18,10.13823351,4.834221911,13.46444452,10.87859428,5.187248727,14.44770719,7.672339879,3.658407899,10.18952607,9.866938415,4.704860057,13.10414134,800 ?atm,B_7.5
5,20210914,7.5_Run_2_Rep_B_Num_2,7.5,B,fed,2,NA,2,2822.12,30.47569587,10.79886605,23.85981066,31.34931957,11.10842897,24.54378179,24.4581159,8.666575448,19.14857062,23.05073301,8.167878406,18.04671261,800 ?atm,B_7.5
6,20210914,7.5_Run_4_Rep_B_Num_3,7.5,B,fed,4,NA,3,3163.95,13.40099842,4.235527874,8.559850059,13.45034847,4.251125483,8.591372269,10.07401228,3.18399857,6.434747017,10.18761694,3.219904531,6.507311676,800 ?atm,B_7.5
7,20210914,7.5_Run_1_Rep_C_Num_1,7.5,C,fed,1,NA,1,2880.12,14.96220244,5.194992722,11.29750127,15.67267769,5.441675239,11.8339594,10.63982964,3.694231364,8.03380982,7.821926658,2.715833597,5.906097499,800 ?atm,C_7.5
8,20210914,7.5_Run_3_Rep_C_Num_2,7.5,C,fed,3,NA,2,2687.51,3.090181931,1.149830859,2.639238275,6.250862085,2.325893517,5.338687118,-23.58780041,-8.776823307,-20.14568302,1.402853053,0.521989891,1.1981377,800 ?atm,C_7.5
9,20210914,7.5_Run_4_Rep_C_Num_3,7.5,C,fed,4,NA,3,2150.83,6.221252954,2.89248939,7.899084109,5.319020954,2.473008538,6.75352605,19.51120663,9.071477816,24.77325121,5.417279892,2.518692733,6.87828478,800 ?atm,C_7.5
10,20210914,7.5_Run_2_Rep_D_Num_1,7.5,D,fed,2,NA,1,2726.53,15.03664448,5.51493821,12.51706024,14.36659992,5.269188281,11.95929032,11.98293036,4.394938022,9.975035417,14.06655615,5.159142262,11.70952276,800 ?atm,D_7.5
11,20210914,7.5_Run_3_Rep_D_Num_2,7.5,D,fed,3,NA,2,2659.1,16.36504945,6.154356529,14.24384764,17.46395073,6.567617137,15.20031175,4.67803255,1.75925409,4.071676233,15.53789324,5.843290301,13.5239056,800 ?atm,D_7.5
12,20210914,7.5_Run_4_Rep_D_Num_3,7.5,D,fed,4,NA,3,1916.71,4.50113097,2.348363065,7.016312966,3.094542555,1.61450744,4.823738567,9.401660445,4.905103247,14.65520388,2.518349208,1.31389162,3.925574776,800 ?atm,D_7.5
13,20210914,8_Run_1_Rep_A_Num_1,8,A,fed,1,NA,1,1737.49,1.386854327,0.798194135,2.574582647,3.339888144,1.922248844,6.200231625,2.029462096,1.168042461,3.767531884,0.641049507,0.36895148,1.190056449,500 ?atm,A_8
14,20210914,8_Run_2_Rep_A_Num_2,8,A,fed,2,NA,2,2974,11.82159243,3.974980641,8.430760966,13.70633951,4.608722096,9.774899015,13.73329456,4.617785662,9.794122445,7.40252217,2.489079412,5.279229119,500 ?atm,A_8
15,20210914,8_Run_3_Rep_A_Num_3,8,A,fed,3,NA,3,1974.36,-1.443232675,-0.730987599,-2.134101992,1.356647135,0.687132607,2.006068324,-17.14177379,-8.682192602,-25.34746768,-0.52035211,-0.263554828,-0.769442442,500 ?atm,A_8
16,20210914,8_Run_1_Rep_B_Num_1,8,B,fed,1,NA,1,2709.79,5.761363621,2.126129191,4.848836774,8.389596137,3.096031846,7.060790629,-5.522222556,-2.037878417,-4.647572617,8.814825668,3.252955273,7.418669201,500 ?atm,B_8
17,20210914,8_Run_2_Rep_B_Num_2,8,B,fed,2,NA,2,2109.65,2.88690916,1.368430384,3.793816309,5.146192121,2.439358245,6.762840988,-3.871952138,-1.835352849,-5.088305295,5.264903818,2.495629046,6.918845332,500 ?atm,B_8
18,20210914,8_Run_4_Rep_B_Num_3,8,B,fed,4,NA,3,2139.34,-4.746204245,-2.218536673,-6.083956069,-5.070562282,-2.370152609,-6.499736753,17.64545136,8.248081821,22.61894882,4.096449458,1.914819271,5.251063219,500 ?atm,B_8
19,20210914,8_Run_1_Rep_C_Num_1,8,C,fed,1,NA,1,2281.73,4.543373335,1.991196739,5.192849855,6.724527425,2.947117943,7.685800547,-5.77146666,-2.529425769,-6.596499473,8.777739817,3.846966914,10.03252024,500 ?atm,C_8
20,20210914,8_Run_3_Rep_C_Num_2,8,C,fed,3,NA,2,2452.71,3.644473743,1.48589672,3.662707998,5.74560591,2.342554118,5.774352679,-0.248065078,-0.10113918,-0.249306213,3.733826109,1.522326777,3.752507418,500 ?atm,C_8
21,20210914,8_Run_4_Rep_C_Num_3,8,C,fed,4,NA,3,1796.06,-1.20882528,-0.673042816,-2.11548596,0.703151469,0.391496648,1.230539339,4.11550861,2.291409313,7.202282106,1.986245702,1.105890506,3.475998529,500 ?atm,C_8
